,2018년01월,,2018년02월,,2018년03월,,2018년04월,,2018년05월,,2018년06월,,2018년07월,,2018년08월,,2018년09월,,2018년10월,,2018년11월,,2018년12월,,2019년01월,,2019년02월,,2019년03월,,2019년04월,,2019년05월,,2019년06월,,2019년07월,,2019년08월,,2019년09월,,2019년10월,,2019년11월,,2019년12월,,2020년01월,,2020년02월,,2020년03월,,2020년04월,,2020년05월,,2020년06월,,2020년07월,,2020년08월,,2020년09월,,2020년10월,,2020년11월,,2020년12월,,2021년01월,,2021년02월,,2021년03월,,2021년04월,,2021년05월,,2021년06월,,2021년07월,,2021년08월,,2021년09월,,2021년10월,,2021년11월,,2021년12월,,2022년01월,,2022년02월,,2022년03월,,2022년04월,,2022년05월,,2022년06월,,2022년07월,,2022년08월,,2022년09월,,2022년10월,,2022년11월,,2022년12월,
(사업장)시도,신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월),신규성립사업장수(월),소멸사업장수(월)
총계,"76,551","118,356","71,944","149,274","111,825","85,306","119,702","75,901","115,727","74,838","105,899","87,988","122,077","119,541","113,433","112,172","98,054","109,377","145,213","117,173","149,009","115,290","107,363","119,895","91,390","148,966","77,505","181,807","118,386","82,234","139,500","87,812","131,014","122,815","131,129","138,930","158,610","159,973","138,738","150,805","132,611","192,957","167,796","135,310","156,518","114,655","121,539","72,550","96,560","197,696","105,565","142,044","140,982","104,173","141,584","114,070","131,501","135,293","159,884","148,400","183,758","191,458","156,901","157,344","195,975","190,414","196,761","188,359","181,706","192,403","133,956","105,581","110,212","195,933","100,130","82,155","146,708","50,649","152,573","119,341","164,523","121,807","206,550","147,035","235,182","281,492","186,212","204,689","180,869","214,272","303,235","284,393","274,940","244,721","151,285","195,571","95,922","197,043","93,162","85,867","126,808","94,816","131,606","81,313","133,659","103,744","121,910","102,469","116,376","107,722","108,359","86,878","96,149","125,610","101,856","120,428","129,375","103,551","121,165","121,869"
서울특별시,"11,658","11,925","10,471","17,992","12,106","7,685","12,982","10,477","13,032","10,862","13,036","8,316","18,322","15,575","16,162","12,905","12,450","11,656","12,966","15,138","16,308","15,050","11,571","11,675","12,605","15,837","10,755","12,685","12,883","7,678","17,733","15,190","18,149","18,626","13,236","11,900","26,694","23,615","17,007","17,452","16,272","25,914","24,345","21,242","17,049","15,276","13,733","12,667","12,328","15,488","14,344","16,592","13,622","9,867","16,256","16,519","15,580","16,372","18,218","13,784","22,493","19,750","24,175","19,917","20,565","23,552","26,959","24,241","27,518","32,319","16,508","15,837","12,963","12,555","12,570","10,750","13,758","4,110","15,117","16,927","14,802","9,388","25,837","14,281","31,436","35,255","25,711","30,266","23,550","32,843","40,267","30,377","30,787","24,893","17,796","28,708","13,241","21,204","13,044","9,753","13,556","12,677","13,500","9,637","14,839","11,641","12,715","9,723","13,994","10,939","14,460","10,994","12,122","14,619","11,924","16,275","13,918","13,464","13,983","12,815"
부산광역시,"3,940","6,195","3,419","5,320","4,194","2,744","4,405","3,630","4,393","2,608","4,366","2,893","6,195","4,720","4,043","5,043","3,237","3,744","4,375","3,422","5,157","3,342","4,539","3,927","4,210","6,320","3,569","7,945","4,082","2,048","5,061","3,701","5,247","5,219","5,151","3,841","5,686","4,103","6,861","8,897","6,349","7,657","8,116","7,114","5,576","4,728","4,833","2,498","3,986","3,799","4,889","5,323","5,434","9,173","4,623","2,906","4,662","4,068","6,365","5,267","9,873","9,061","10,647","8,966","10,423","11,027","15,297","16,210","9,950","11,343","5,018","2,911","4,206","6,948","4,190","3,104","5,720",929,"7,466","5,681","7,664","8,037","13,518","5,973","13,053","19,466","5,610","4,133","5,549","6,673","30,449","23,899","14,875","22,906","5,278","5,639","4,472","4,162","4,267","4,313","4,591","5,321","5,136","3,655","6,221","2,810","8,583","3,583","9,209","4,178","4,622","4,231","3,886","3,723","3,886","16,681","4,761","3,970","4,630","4,281"
대구광역시,"2,523","2,203","2,527","4,540","3,144","1,590","3,080","1,998","3,039","2,354","2,667","1,966","3,567","2,283","3,105","2,800","2,245","1,123","3,713","2,813","3,846","1,365","2,726","4,883","2,878","3,920","2,252","6,381","2,885","2,204","3,694","2,775","3,372","2,964","3,293","3,055","3,543","2,051","3,028","4,023","2,571","3,209","3,959","3,761","3,187","1,194","3,367","2,309","2,844","2,610","3,027","6,847","2,700","3,143","3,178","2,416","3,138","2,681","3,034","2,812","3,165","2,687","4,386","5,189","3,364","3,001","3,228","3,053","3,584","4,262","3,236","1,015","3,665","5,864","2,684","1,908","3,553","2,251","3,833","3,828","3,748",901,"3,925","4,436","3,733","1,899","2,827","5,397","2,868","4,033","3,282","3,244","3,656","2,837","3,930","3,690","2,965","4,775","2,768","2,802","3,138","3,241","3,306","2,083","3,574","2,791","3,088","2,156","3,321","3,125","3,309","2,423","2,773","3,259","2,696","3,099","3,301","2,419","3,261","3,837"
인천광역시,"3,387","3,872","3,235","2,934","4,049","1,494","4,494","8,397","4,682","2,568","4,072","3,301","4,444","3,398","5,179","6,200","6,773","6,934","5,255","4,251","6,103","4,135","4,293","4,577","4,947","9,199","4,627","7,630","5,802","5,142","5,939","4,296","5,495","5,558","5,363","4,644","6,868","6,837","5,768","5,500","5,979","8,280","7,379","6,543","6,225","5,499","5,173","3,093","4,601","9,580","5,479","3,991","5,484","4,743","8,237","6,808","6,062","5,819","9,608","8,547","8,331","8,304","6,724","6,298","6,893","6,637","8,050","7,161","12,516","13,171","9,708","5,543","6,934","12,054","7,301","5,196","5,546","3,916","9,679","5,185","8,563","10,752","15,241","4,109","9,510","19,913","9,540","5,519","6,153","6,260","15,226","12,489","19,394","17,637","9,487","15,286","4,188","10,034","4,009","2,883","4,820","4,104","4,848","2,249","5,379","4,276","4,540","4,013","4,840","4,412","4,690","3,270","4,241","6,754","4,289","4,803","5,182","2,403","4,718","6,074"
광주광역시,"1,781","1,164","1,554","4,860","1,862","1,674","1,983","2,000","2,059","1,032","1,977","1,594","2,297",538,"3,642",750,"2,614","3,028","2,274","2,002","2,653","1,193","2,624","4,300","2,113","5,412","1,868","1,490","2,013","3,246","3,081","1,938","2,357","2,626","2,386","2,046","3,087","2,185","2,554","2,790","2,062","3,408","2,580","2,104","2,782","1,799","3,088","1,062","2,179","4,077","2,195","2,630","2,157","2,221","2,318","1,615","2,212","1,817","3,627","3,250","2,856","3,212","2,218","2,136","2,549","1,856","3,174","2,798","2,643","3,067","2,978","2,366","2,238","1,712","2,193","1,153","2,656",395,"2,739","2,072","2,404","1,449","2,915","2,662","2,751","4,956","2,338","2,730","2,212","3,748","5,227","4,707","2,987","2,109","3,272","2,344","2,402","4,154","2,162","1,716","2,271","2,410","2,386","1,923","2,786","1,953","2,356","1,967","2,558",750,"2,596",842,"2,037","1,383","2,048","4,527","2,551",851,"2,889","5,140"
대전광역시,"1,850","2,167","1,658","2,960","2,182",897,"2,376","1,744","2,436","1,815","2,087","1,619","2,592","2,201","2,206","1,088","1,891",913,"2,363","3,369","3,693","3,313","2,615","1,854","1,882","5,642","1,827","2,804","2,264","1,726","2,724","1,551","2,478","2,250","4,994","4,746","3,443","3,029","2,211","1,741","1,914","2,708","3,931","3,098","2,763","1,117","2,466","1,747","1,918","3,808","2,299","2,639","2,553","2,301","2,549","2,196","2,409","1,419","2,610","3,034","2,694","1,836","2,366","1,796","2,559","2,313","2,578","2,325","2,878","2,256","2,742","1,937","1,972","3,359","2,067","1,096","2,793",714,"2,893","2,350","2,713",954,"3,038","1,652","2,920","2,603","2,645","4,704","2,463","2,711","2,821","2,492","3,155","1,725","3,177","2,301","2,142","8,707","2,213",865,"2,574","2,054","2,744","2,698","2,942","2,053","2,663","1,096","2,879","3,334","2,648","2,108","2,357","2,798","2,284","1,776","3,014","3,190","2,726","2,692"
울산광역시,"2,158","4,099","2,122",584,"2,549",338,"2,618","5,907","2,837","4,149","2,384",904,"3,567","2,325","2,600","2,929","2,532","2,696","4,148","2,824","3,235","2,462","2,819","2,907","2,994","3,403","2,411","1,324","2,959","6,293","3,369","2,811","2,926","3,929","2,996","2,907","3,533","3,587","2,738","3,130","2,718","5,632","3,292",755,"3,015","1,966","3,376",379,"2,750","8,794","2,865","2,088","3,234","2,734","3,220","2,261","2,869","2,650","3,026","1,826","3,078","3,620","2,355","4,495","2,957","1,843","3,789","3,621","7,491","8,117","3,772","1,667","3,026","5,140","2,698","3,265","3,602",486,"3,330","3,611","2,924","2,386","3,396","2,542","3,393","5,246","2,851","2,873","3,016","1,427","7,821","9,362","10,380","9,261","13,284","13,917","4,918","3,640","2,760","4,121","3,650","4,736","3,530","2,479","3,425","2,744","3,191","3,023","3,352","3,106","3,185","2,768","3,037",541,"3,126","3,565","3,591","5,318","3,341","3,793"
