,2018년 01월,,,2018년 02월,,,2018년 03월,,,2018년 04월,,,2018년 05월,,,2018년 06월,,,2018년 07월,,,2018년 08월,,,2018년 09월,,,2018년 10월,,,2018년 11월,,,2018년 12월,,,2019년 01월,,,2019년 02월,,,2019년 03월,,,2019년 04월,,,2019년 05월,,,2019년 06월,,,2019년 07월,,,2019년 08월,,,2019년 09월,,,2019년 10월,,,2019년 11월,,,2019년 12월,,,2020년 01월,,,2020년 02월,,,2020년 03월,,,2020년 04월,,,2020년 05월,,,2020년 06월,,,2020년 07월,,,2020년 08월,,,2020년 09월,,,2020년 10월,,,2020년 11월,,,2020년 12월,,,2021년 01월,,,2021년 02월,,,2021년 03월,,,2021년 04월,,,2021년 05월,,,2021년 06월,,,2021년 07월,,,2021년 08월,,,2021년 09월,,,2021년 10월,,,2021년 11월,,,2021년 12월,,,2022년 01월,,,2022년 02월,,,2022년 03월,,,2022년 04월,,,2022년 05월,,,2022년 06월,,,2022년 07월,,,2022년 08월,,,2022년 09월,,,2022년 10월,,,2022년 11월,,,2022년 12월,,
(지역별)시도,구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월),구인인원(월),구직건수(월),취업건수(월)
총계,"247,030","434,846","169,318","179,230","314,439","143,395","237,402","396,586","202,561","204,260","330,346","172,474","206,562","324,562","150,137","210,430","323,654","143,521","199,474","343,091","162,680","206,847","312,743","145,801","167,966","277,838","134,492","212,894","339,786","143,040","189,238","311,114","150,973","175,490","300,501","114,412","185,708","456,866","151,813","157,809","310,042","121,948","191,868","380,354","177,594","189,764","346,945","154,926","186,156","324,158","139,000","170,713","316,509","122,841","177,391","354,984","146,733","163,454","299,322","120,786","178,721","297,799","119,801","178,840","331,259","130,185","175,271","313,496","121,529","173,033","326,524","102,486","171,440","434,612","130,691","171,462","337,691","133,249","144,886","381,980","134,368","121,563","360,615","118,319","143,643","344,462","109,448","175,008","368,119","119,006","182,374","410,116","131,025","179,320","343,307","148,338","171,078","361,385","146,495","182,482","386,441","129,393","199,618","348,885","135,197","202,238","473,407","121,068","190,556","605,342","140,642","182,250","367,467","131,756","243,610","487,469","190,724","232,139","426,178","168,765","219,584","389,822","149,119","250,408","410,123","156,942","236,079","442,446","167,204","253,078","410,438","142,347","225,647","384,728","149,195","244,078","386,058","145,584","271,255","398,916","140,766","280,356","429,546","119,321","249,892","524,957","152,537","261,027","377,005","131,843","306,400","453,545","175,507","275,770","363,341","152,526","288,836","380,482","135,347","290,434","374,701","127,957","281,381","380,526","141,135","280,703","366,309","129,430","294,008","350,690","128,286","254,560","349,373","122,976","285,506","363,250","126,135","248,785","399,901","109,843"
서울,"32,517","70,844","27,936","25,676","51,757","21,590","34,677","65,228","30,496","32,280","57,270","27,415","31,094","55,612","23,100","34,085","52,365","22,004","33,111","58,183","24,931","36,327","51,384","22,049","25,304","45,627","19,754","32,921","53,585","20,700","32,065","50,161","22,056","26,944","46,365","18,288","26,398","72,062","23,544","23,384","48,360","17,619","27,114","59,446","25,319","28,504","56,382","23,059","27,156","54,379","20,450","25,212","49,018","18,217","27,377","56,368","22,897","25,277","46,892","18,051","25,559","45,784","16,774","27,722","52,025","18,141","24,370","51,653","17,375","22,782","50,668","15,450","23,011","68,388","18,890","23,087","53,198","19,450","18,609","61,209","19,158","15,964","59,145","16,771","21,002","56,492","14,425","22,233","58,778","16,947","23,050","62,451","18,559","23,479","53,921","18,921","23,536","59,953","19,638","22,450","64,333","18,336","26,970","59,564","19,200","26,651","82,112","18,705","21,094","102,526","20,496","21,972","60,588","19,165","27,611","77,315","28,535","29,599","69,111","25,145","28,308","64,637","21,176","33,513","64,908","22,492","32,287","70,223","26,223","32,796","64,320","21,289","29,561","59,494","21,275","32,417","59,881","20,585","38,563","66,494","20,204","37,678","66,255","18,279","30,556","83,448","21,914","33,990","60,733","17,280","39,463","70,662","24,112","36,857","57,349","21,515","40,854","60,682","18,636","40,269","56,786","17,803","39,482","59,263","20,568","41,804","55,215","18,065","39,357","52,725","17,443","36,988","53,269","16,424","39,259","56,031","17,151","36,618","64,840","15,600"
부산,"12,869","33,328","14,085","10,829","23,994","10,893","12,439","33,099","15,321","11,106","26,937","14,258","11,600","27,068","11,756","12,104","27,078","11,366","11,183","25,895","12,869","11,518","24,481","11,070","8,882","23,941","10,317","12,388","29,193","11,574","11,669","26,725","11,670","9,751","24,720","8,989","9,633","33,792","12,481","8,790","25,271","8,569","9,964","31,674","12,356","10,891","30,274","12,138","11,625","28,527","10,324","10,178","28,163","10,380","10,181","29,057","12,338","9,063","25,118","9,728","13,191","26,762","8,850","11,096","29,603","10,690","11,140","25,490","10,174","11,279","27,421","8,321","10,197","32,922","10,407","9,859","26,932","10,000","7,697","30,880","9,642","6,467","28,147","8,947","8,384","27,604","8,689","9,697","29,870","9,491","9,515","33,042","10,986","9,891","27,840","12,347","8,522","30,486","12,664","10,452","33,091","10,742","10,445","28,007","10,756","11,516","40,833","9,546","9,773","47,286","10,966","9,647","29,816","9,299","12,987","40,706","13,704","12,368","36,897","12,931","13,116","33,662","11,762","15,044","36,272","12,504","13,442","38,613","13,482","13,623","35,207","11,300","13,191","33,426","11,679","14,389","34,143","12,117","16,861","34,464","11,327","16,388","36,041","9,570","13,959","41,060","12,141","14,925","31,671","9,562","16,250","38,041","13,252","16,143","31,239","12,360","17,276","33,128","11,085","16,999","33,380","10,580","16,476","32,163","12,179","18,518","31,398","10,654","17,459","31,082","10,519","16,024","31,757","10,939","16,775","31,390","10,455","15,634","32,448","9,090"
대구,"8,347","23,400","6,647","6,839","15,369","6,848","8,496","19,267","7,914","7,618","17,861","6,770","7,788","15,494","7,125","7,078","15,327","5,727","7,285","16,564","5,716","7,030","17,376","5,334","6,073","13,611","6,116","7,889","16,555","5,145","6,573","14,910","5,479","5,750","13,721","4,443","6,025","22,557","5,664","5,884","14,979","5,388","6,473","18,963","6,828","6,537","19,027","6,128","6,241","15,561","6,618","5,270","15,690","4,798","5,702","17,301","5,449","5,437","16,700","4,804","5,561","14,826","5,686","6,598","16,866","5,026","6,595","15,222","4,817","5,308","15,270","4,033","5,283","21,377","4,803","5,146","15,114","5,684","4,382","17,762","4,085","3,802","18,896","4,524","4,230","17,284","5,248","5,574","17,995","4,439","6,861","19,353","4,627","6,282","16,263","7,403","6,218","17,565","5,225","7,088","17,839","4,765","7,220","15,765","4,902","7,748","22,127","5,082","6,625","28,881","5,440","6,645","18,389","5,258","8,382","23,406","7,731","7,991","20,213","6,494","7,897","18,143","6,947","8,679","19,309","6,058","8,232","21,633","6,340","9,340","19,509","5,684","8,033","18,924","6,988","9,030","18,211","5,909","9,545","18,993","5,691","9,513","20,358","4,972","8,407","24,551","6,094","9,643","18,639","5,368","10,702","22,669","7,396","9,706","18,543","6,633","9,987","18,992","6,117","10,489","18,331","5,446","9,421","18,911","5,784","10,258","17,769","5,268","10,520","19,489","5,700","8,947","18,253","5,263","10,267","19,322","5,352","8,806","18,822","4,625"
인천,"12,999","27,833","9,536","9,880","20,806","9,542","13,223","26,429","12,955","11,781","22,048","10,213","11,144","19,985","9,180","12,275","19,924","8,880","10,530","22,702","10,460","11,365","20,585","9,416","9,264","18,005","8,464","11,310","22,353","9,069","9,694","20,284","9,783","8,654","18,904","6,911","8,785","29,197","8,598","7,978","20,461","7,428","10,070","25,675","9,608","9,418","24,344","9,233","9,741","22,137","8,316","8,446","21,438","7,695","8,584","23,467","8,812","8,168","19,703","7,295","8,314","19,854","6,788","8,728","22,398","7,952","8,098","20,649","7,578","8,589","21,451","6,291","8,315","27,326","8,037","8,340","22,380","8,144","7,183","25,627","8,538","6,132","26,247","6,926","7,073","23,815","6,826","7,751","23,240","7,537","8,810","26,752","7,724","9,043","22,664","10,416","8,596","24,819","9,305","9,344","25,208","7,914","9,865","22,965","7,685","9,784","32,061","7,310","10,829","37,793","8,657","9,190","24,043","8,196","13,414","32,161","11,899","12,452","27,921","10,425","12,661","26,103","9,235","14,665","27,656","10,036","12,759","28,814","10,528","13,441","27,491","9,273","12,716","23,944","9,715","13,324","25,052","9,177","15,019","25,316","8,837","14,701","27,151","7,598","13,041","33,109","9,461","13,856","24,039","8,212","16,839","28,876","10,973","15,330","24,048","9,560","16,001","24,800","8,626","15,981","24,371","8,106","15,390","24,606","8,678","14,780","23,451","8,248","16,022","22,605","7,811","13,699","22,252","7,396","14,800","23,110","7,798","12,086","24,911","6,511"
광주,"5,495","12,355","4,486","4,665","10,831","3,832","5,522","13,062","7,477","5,118","9,826","4,692","5,198","9,309","4,071","4,688","9,552","3,839","4,641","9,503","3,976","4,719","9,096","3,637","4,219","7,949","3,619","5,833","9,469","4,914","5,304","7,957","4,778","4,413","7,648","3,554","4,781","15,334","4,300","4,075","8,304","3,603","4,842","10,742","7,741","4,839","9,929","4,290","4,624","8,938","3,715","4,320","9,349","3,591","4,626","9,794","4,152","3,867","7,975","3,500","4,119","8,285","3,166","3,871","9,205","3,659","4,203","7,900","3,175","3,987","8,430","3,140","4,190","11,758","3,584","4,359","9,477","3,722","3,652","10,894","3,815","3,038","9,652","3,466","3,019","9,231","3,094","4,081","10,134","3,385","3,852","10,533","3,733","4,492","9,478","3,486","4,369","10,099","4,522","4,595","9,893","3,634","5,392","8,794","4,422","6,010","12,641","3,976","4,863","16,667","4,131","5,975","10,076","3,640","6,560","14,114","5,437","6,245","11,236","4,733","5,266","10,242","4,336","6,490","11,728","4,352","6,079","12,685","4,984","5,687","11,456","4,160","5,677","10,723","4,439","6,227","10,762","4,294","6,749","10,321","3,967","6,945","11,744","3,770","5,427","14,255","4,211","5,926","10,425","3,728","6,798","13,034","5,141","5,816","9,595","4,415","6,354","10,028","4,041","5,754","10,568","3,761","5,279","10,543","3,980","5,541","9,987","3,940","5,393","10,021","3,777","5,173","10,014","3,535","5,685","9,866","3,890","6,135","10,991","3,751"
대전,"2,998","12,801","3,463","2,307","9,766","3,235","3,119","13,213","5,535","2,510","11,707","6,524","2,537","10,537","4,457","2,602","9,591","3,150","2,571","10,367","3,937","3,829","9,025","4,053","1,904","7,945","3,270","3,229","9,431","3,171","2,404","7,726","2,904","2,003","8,327","2,298","2,507","11,426","2,792","2,084","7,620","2,208","2,130","9,961","3,843","2,376","8,976","3,037","2,203","8,930","2,647","2,075","8,169","2,444","2,281","9,023","2,824","2,785","7,876","2,407","1,965","7,752","2,381","2,516","8,286","2,745","2,364","7,251","2,548","1,931","8,113","2,090","2,241","10,909","2,468","2,119","7,931","2,499","1,714","9,632","2,805","1,986","8,893","2,435","2,012","7,981","2,260","2,486","8,565","2,379","2,525","10,675","2,471","2,156","8,347","4,125","3,588","9,064","3,084","3,037","9,364","2,722","2,775","8,140","2,834","3,147","12,114","2,615","2,512","16,251","2,983","2,178","9,181","2,568","3,270","13,072","3,984","2,753","11,977","3,392","2,994","10,166","3,336","3,289","11,223","3,350","3,380","11,811","3,613","3,935","10,992","3,098","3,195","10,247","3,763","3,854","10,099","3,373","3,792","10,042","2,934","3,890","11,488","2,529","3,550","14,364","3,043","4,148","9,877","2,873","4,206","12,630","3,875","3,810","9,778","3,585","4,560","10,444","2,843","3,825","9,665","2,869","4,451","10,468","3,098","4,282","9,720","2,774","4,028","9,088","2,679","3,674","9,306","2,618","3,815","9,294","2,555","3,381","10,902","2,277"
울산,"4,282","11,607","4,289","3,462","7,817","3,260","4,409","10,172","4,115","4,289","9,194","3,711","3,739","9,262","3,866","3,803","9,926","3,407","3,729","9,759","3,587","4,181","9,029","3,224","3,602","8,168","3,265","4,963","9,414","3,332","5,041","8,645","3,578","4,143","9,207","2,783","3,767","12,661","4,227","3,275","7,996","3,094","4,050","9,747","4,085","3,919","8,817","3,802","3,662","7,908","3,661","3,178","7,725","2,921","3,205","8,974","3,153","3,026","7,772","2,691","3,520","7,976","2,752","3,646","9,080","3,242","3,430","9,273","2,850","3,507","9,815","2,412","3,233","11,676","4,071","3,748","9,198","3,204","3,223","9,721","3,172","2,433","9,897","2,639","2,649","9,881","2,792","2,980","10,829","2,849","3,279","11,614","3,698","7,663","9,581","4,181","5,269","9,981","3,615","4,163","11,412","3,231","4,520","9,887","3,667","3,876","12,582","3,260","3,390","18,696","3,525","3,764","10,037","3,409","4,978","13,203","4,681","4,580","12,676","4,208","4,058","10,729","3,894","5,012","11,821","4,363","5,039","12,731","4,315","5,203","12,091","3,780","5,061","11,292","4,126","5,577","11,230","3,974","5,854","12,761","3,760","5,656","13,182","3,270","6,122","16,273","5,635","5,473","10,914","3,634","6,540","12,643","4,376","5,742","10,413","3,853","5,991","10,858","3,649","5,961","10,742","3,549","6,348","10,670","3,986","6,163","10,279","3,425","6,479","10,482","3,464","5,824","10,297","3,298","7,072","11,370","3,537","6,692","12,577","3,175"
